1012 SINGEN, 8.641317 47.862278;8.875126 47.859632;8.8722 47.751736;8.638867 47.754376;8.641317 47.862278
1031 NEUNKIRCH, 8.405514 47.756549;8.638867 47.754376;8.636427 47.64647;8.403548 47.648638;8.405514 47.756549
1032 DIESSENHOFEN, 8.638867 47.754376;8.8722 47.751736;8.869286 47.643835;8.636427 47.64647;8.638867 47.754376
1033 STECKBORN, 8.8722 47.751736;9.10551 47.748628;9.10212 47.640733;8.869286 47.643835;8.8722 47.751736
1034 KREUZLINGEN, 9.10551 47.748628;9.338791 47.745052;9.334927 47.637164;9.10212 47.640733;9.10551 47.748628
1035 FRIEDRICHSHAFEN, 9.338791 47.745052;9.57204 47.741008;9.567702 47.633128;9.334927 47.637164;9.338791 47.745052
1047 BASEL, 7.471912 47.652641;7.704831 47.652341;7.704291 47.544418;7.471844 47.544718;7.471912 47.652641
1048 RHEINFELDEN, 7.704831 47.652341;7.937747 47.651573;7.936734 47.543653;7.704291 47.544418;7.704831 47.652341
1049 LAUFENBURG, 7.937747 47.651573;8.170654 47.650339;8.169168 47.542421;7.936734 47.543653;7.937747 47.651573
1050 ZURZACH, 8.170654 47.650339;8.403548 47.648638;8.40159 47.540723;8.169168 47.542421;8.170654 47.650339
1051 EGLISAU, 8.403548 47.648638;8.636427 47.64647;8.633996 47.538559;8.40159 47.540723;8.403548 47.648638
1052 ANDELFINGEN, 8.636427 47.64647;8.869286 47.643835;8.866382 47.535929;8.633996 47.538559;8.636427 47.64647
1053 FRAUENFELD, 8.869286 47.643835;9.10212 47.640733;9.098744 47.532833;8.866382 47.535929;8.869286 47.643835
1054 WEINFELDEN, 9.10212 47.640733;9.334927 47.637164;9.331078 47.529271;9.098744 47.532833;9.10212 47.640733
1055 ROMANSHORN, 9.334927 47.637164;9.567702 47.633128;9.563381 47.525243;9.331078 47.529271;9.334927 47.637164
1056 LINDAU, 9.567702 47.633128;9.800442 47.628625;9.795647 47.520749;9.563381 47.525243;9.567702 47.633128
1064 MONTBELIARD, 6.774515 47.54282;7.006952 47.543919;7.007827 47.435993;6.77586 47.434897;6.774515 47.54282
1065 BONFOL, 7.006952 47.543919;7.239396 47.544551;7.2398 47.436624;7.007827 47.435993;7.006952 47.543919
1066 RODERSDORF, 7.239396 47.544551;7.471844 47.544718;7.471777 47.436791;7.2398 47.436624;7.239396 47.544551
1067 ARLESHEIM, 7.471844 47.544718;7.704291 47.544418;7.703753 47.436492;7.471777 47.436791;7.471844 47.544718
1068 SISSACH, 7.704291 47.544418;7.936734 47.543653;7.935725 47.435727;7.703753 47.436492;7.704291 47.544418
1069 FRICK, 7.936734 47.543653;8.169168 47.542421;8.167688 47.434498;7.935725 47.435727;7.936734 47.543653
1070 BADEN, 8.169168 47.542421;8.40159 47.540723;8.39964 47.432804;8.167688 47.434498;8.169168 47.542421
1071 BUELACH, 8.40159 47.540723;8.633996 47.538559;8.631575 47.430644;8.39964 47.432804;8.40159 47.540723
1072 WINTERTHUR, 8.633996 47.538559;8.866382 47.535929;8.86349 47.428019;8.631575 47.430644;8.633996 47.538559
1073 WIL, 8.866382 47.535929;9.098744 47.532833;9.095381 47.424929;8.86349 47.428019;8.866382 47.535929
1074 BISCHOFSZELL, 9.098744 47.532833;9.331078 47.529271;9.327244 47.421374;9.095381 47.424929;9.098744 47.532833
1075 RORSCHACH, 9.331078 47.529271;9.563381 47.525243;9.559076 47.417354;9.327244 47.421374;9.331078 47.529271
1076 ST. MARGRETHEN, 9.563381 47.525243;9.795647 47.520749;9.790872 47.412869;9.559076 47.417354;9.563381 47.525243
1084 DAMVANT, 6.77586 47.434897;7.007827 47.435993;7.008698 47.328064;6.7772 47.326969;6.77586 47.434897
1085 SAINT-URSANNE, 7.007827 47.435993;7.2398 47.436624;7.240202 47.328694;7.008698 47.328064;7.007827 47.435993
1086 DELEMONT, 7.2398 47.436624;7.471777 47.436791;7.47171 47.32886;7.240202 47.328694;7.2398 47.436624
1087 PASSWANG, 7.471777 47.436791;7.703753 47.436492;7.703217 47.328561;7.47171 47.32886;7.471777 47.436791
1088 HAUENSTEIN, 7.703753 47.436492;7.935725 47.435727;7.93472 47.327798;7.703217 47.328561;7.703753 47.436492
1089 AARAU, 7.935725 47.435727;8.167688 47.434498;8.166214 47.326571;7.93472 47.327798;7.935725 47.435727
1090 WOHLEN, 8.167688 47.434498;8.39964 47.432804;8.397697 47.32488;8.166214 47.326571;8.167688 47.434498
1091 ZUERICH, 8.39964 47.432804;8.631575 47.430644;8.629163 47.322725;8.397697 47.32488;8.39964 47.432804
1092 USTER, 8.631575 47.430644;8.86349 47.428019;8.860609 47.320105;8.629163 47.322725;8.631575 47.430644
1093 HOERNLI, 8.86349 47.428019;9.095381 47.424929;9.092031 47.317022;8.860609 47.320105;8.86349 47.428019
1094 DEGERSHEIM, 9.095381 47.424929;9.327244 47.421374;9.323425 47.313473;9.092031 47.317022;9.095381 47.424929
1095 GAIS, 9.327244 47.421374;9.559076 47.417354;9.554788 47.309461;9.323425 47.313473;9.327244 47.421374
1096 DIEPOLDSAU, 9.559076 47.417354;9.790872 47.412869;9.786115 47.304985;9.554788 47.309461;9.559076 47.417354
1104 SAIGNELEGIER, 6.7772 47.326969;7.008698 47.328064;7.009565 47.220131;6.778535 47.219039;6.7772 47.326969
1105 BELLELAY, 7.008698 47.328064;7.240202 47.328694;7.240602 47.22076;7.009565 47.220131;7.008698 47.328064
1106 MOUTIER, 7.240202 47.328694;7.47171 47.32886;7.471643 47.220925;7.240602 47.22076;7.240202 47.328694
1107 BALSTHAL, 7.47171 47.32886;7.703217 47.328561;7.702683 47.220627;7.471643 47.220925;7.47171 47.32886
1108 MURGENTHAL, 7.703217 47.328561;7.93472 47.327798;7.933719 47.219866;7.702683 47.220627;7.703217 47.328561
1109 SCHOEFTLAND, 7.93472 47.327798;8.166214 47.326571;8.164746 47.218642;7.933719 47.219866;7.93472 47.327798
1110 HITZKIRCH, 8.166214 47.326571;8.397697 47.32488;8.395761 47.216954;8.164746 47.218642;8.166214 47.326571
1111 ALBIS, 8.397697 47.32488;8.629163 47.322725;8.62676 47.214803;8.395761 47.216954;8.397697 47.32488
1112 STAEFA, 8.629163 47.322725;8.860609 47.320105;8.857739 47.212188;8.62676 47.214803;8.629163 47.322725
1113 RICKEN, 8.860609 47.320105;9.092031 47.317022;9.088694 47.20911;8.857739 47.212188;8.860609 47.320105
1114 NESSLAU, 9.092031 47.317022;9.323425 47.313473;9.319621 47.205569;9.088694 47.20911;9.092031 47.317022
1115 SAENTIS, 9.323425 47.313473;9.554788 47.309461;9.550516 47.201565;9.319621 47.205569;9.323425 47.313473
1116 FELDKIRCH, 9.554788 47.309461;9.786115 47.304985;9.781376 47.197097;9.550516 47.201565;9.554788 47.309461
1123 LE RUSSEY, 6.547516 47.217483;6.778535 47.219039;6.779865 47.111105;6.549311 47.109552;6.547516 47.217483
1124 LES BOIS, 6.778535 47.219039;7.009565 47.220131;7.010429 47.112195;6.779865 47.111105;6.778535 47.219039
1125 CHASSERAL, 7.009565 47.220131;7.240602 47.22076;7.241001 47.112822;7.010429 47.112195;7.009565 47.220131
1126 BUEREN AN DER AARE, 7.240602 47.22076;7.471643 47.220925;7.471577 47.112987;7.241001 47.112822;7.240602 47.22076
1127 SOLOTHURN, 7.471643 47.220925;7.702683 47.220627;7.702151 47.11269;7.471577 47.112987;7.471643 47.220925
1128 LANGENTHAL, 7.702683 47.220627;7.933719 47.219866;7.932722 47.111931;7.702151 47.11269;7.702683 47.220627
1129 SURSEE, 7.933719 47.219866;8.164746 47.218642;8.163283 47.110708;7.932722 47.111931;7.933719 47.219866
1130 HOCHDORF, 8.164746 47.218642;8.395761 47.216954;8.393833 47.109024;8.163283 47.110708;8.164746 47.218642
1131 ZUG, 8.395761 47.216954;8.62676 47.214803;8.624367 47.106877;8.393833 47.109024;8.395761 47.216954
1132 EINSIEDELN, 8.62676 47.214803;8.857739 47.212188;8.85488 47.104268;8.624367 47.106877;8.62676 47.214803
1133 LINTHEBENE, 8.857739 47.212188;9.088694 47.20911;9.08537 47.101196;8.85488 47.104268;8.857739 47.212188
1134 WALENSEE, 9.088694 47.20911;9.319621 47.205569;9.315832 47.097662;9.08537 47.101196;9.088694 47.20911
1135 BUCHS, 9.319621 47.205569;9.550516 47.201565;9.546262 47.093665;9.315832 47.097662;9.319621 47.205569
1136 DREI SCHWESTERN, 9.550516 47.201565;9.781376 47.197097;9.776656 47.089207;9.546262 47.093665;9.550516 47.201565
1143 LE LOCLE, 6.549311 47.109552;6.779865 47.111105;6.781189 47.003168;6.551099 47.001619;6.549311 47.109552
